Title,Rating,Votes,Duration,Genre
The Ministry of Ungentlemanly Warfare,6.8,135000,122.0,war
The Six Triple Eight,6.7,26000,127.0,war
William Tell,5.7,2500,133.0,war
Nr. 24,7.5,15000,111.0,war
Blitz,6.2,16000,120.0,war
My Dead Friend Zoe,6.6,2200,103.0,war
Dirty Angels,4.3,3400,104.0,war
Amaran,8.1,19000,167.0,war
Before Dawn,5.4,1000,101.0,war
Uprising,6.6,5600,126.0,war
Goebbels and the Führer,6.7,2200,135.0,war
Escape from Germany,5.3,971,97.0,war
Without Blood,7.5,108,91.0,war
Murder Company,3.7,1600,86.0,war
Laws of Man,5.2,1000,98.0,war
Chhava,8.4,2200,51.0,war
All the Lost Ones,3.7,248,106.0,war
Quisling: The Final Days,7.1,1100,146.0,war
"Canadian, Sniper",3.4,357,83.0,war
Chandu Champion,7.8,34000,142.0,war
The Last Front,5.5,611,98.0,war
Decoded,5.7,438,156.0,war
WWII: Operation Phoenix,6.2,77,106.0,war
Bau: Artist at War,7.0,58,130.0,war
Russians at War,2.0,1100,129.0,war
"Love, Courage and the Battle of Bushy Run",5.0,183,113.0,war
Atatürk II: 1881-1919,8.9,2100,141.0,war
Invasion,4.8,681,91.0,war
The Friendly,8.1,15,101.0,war
Conquer: Lahad Datu,6.6,515,120.0,war
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,8.1,660,174.0,war
Ka Whawhai Tonu,7.3,179,115.0,war
The Shamrock Spitfire,5.2,481,108.0,war
Never Alone,7.2,425,85.0,war
The Witch: Revenge,5.3,824,100.0,war
Battlefield,6.2,669,104.0,war
Kang Mak,6.4,817,122.0,war
Aserb: The Squadron,5.2,307,120.0,war
War Blade,3.9,253,94.0,war
The Yin Yang Master Zero,5.7,275,112.0,war
The Volunteers: The Battle of Life and Death,6.2,233,144.0,war
The Epidemic,5.7,72,95.0,war
Haywire: Gunslingers,2.2,27,85.0,war
The Dugout,5.4,755,114.0,war
Hitler,5.2,305,128.0,war
White Courage,6.4,622,115.0,war
"Dao, Pho Va Piano",5.8,204,100.0,war
Red Poppies,4.7,298,122.0,war
Klitschko: More Than a Fight,6.3,506,96.0,war
24 Hours to D-Day,4.8,37,83.0,war
Fortunes of War,3.6,177,85.0,war
Bozji gnjev,7.2,59,111.0,war
The Liberation Men,6.5,79,90.0,war
The Mousetrap,7.2,22,87.0,war
Bardejov,4.8,177,85.0,war
Air War,6.4,113,106.0,war
Vremya vernutsya,6.9,15,100.0,war
Ludzie,6.9,47,117.0,war
October 7 - Al Jazeera Investigations,6.3,44,60.0,war
Pidyomna syla,8.7,67,87.0,war
Village of Death: Oradour-sur-Glane 1944,7.8,15,58.0,war
Dwie siostry,5.5,22,92.0,war
Burning Stars,6.6,45,84.0,war
Operation Star,7.7,24,102.0,war
Eddy's oorlog,7.7,46,101.0,war
"America, Invaded",7.3,20,82.0,war
We Were Recruits,7.0,232,92.0,war
Iyunskaya polyn,10.0,5,79.0,war
Sem chyornykh bumag,6.7,56,96.0,war
Pozyvnoy «Passazhir»,4.8,230,101.0,war
Korni,8.2,16,137.0,war
Blood Vendetta,7.7,236,90.0,war
The Daughter,4.0,6,97.0,war
Kara Kyz,4.8,20,111.0,war
Churchill's Forgotten War,7.8,12,47.0,war
Krasnye lenty,5.4,22,62.0,war
"Por ti, Portugal, eu juro!",7.6,5,98.0,war
Los indomables,6.5,9,106.0,war
Krigsvarsleren,7.4,7,55.0,war
On Moral Grounds,8.4,7,74.0,war
Dosije Kosovo - Pogrom,7.6,5,109.0,war
Challengers,7.0,155000,131.0,sport
Queen of the Ring,6.9,940,140.0,sport
Under Paris,5.2,36000,104.0,sport
Arthur the King,7.0,34000,107.0,sport
Unstoppable,6.8,4100,116.0,sport
Young Woman and the Sea,7.5,17000,129.0,sport
The Fire Inside,6.7,2500,109.0,sport
You Gotta Believe,5.8,1300,104.0,sport
Rez Ball,6.3,2500,111.0,sport
Sweet Dreams,5.4,1400,95.0,sport
The Beautiful Game,6.3,8100,125.0,sport
El Jockey,6.4,1700,96.0,sport
Race for Glory: Audi vs. Lancia,5.8,4700,109.0,sport
The Underdoggs,5.6,4600,96.0,sport
Uranus 2324,6.4,4800,130.0,sport
Sixty Minutes,5.7,5200,88.0,sport
Haikyu!! The Dumpster Battle,7.7,6200,85.0,sport
Blue Lock: Episode Nagi,6.6,2500,91.0,sport
Chandu Champion,7.8,34000,142.0,sport
Lubber Pandhu,8.1,6000,146.0,sport
Maidaan,7.9,23000,181.0,sport
El Hareefa,6.8,1000,117.0,sport
Bionic,4.3,1700,110.0,sport
Little Wing,6.1,938,100.0,sport
Boxer,6.4,1300,150.0,sport
Balestra,5.1,529,145.0,sport
My Sunshine,7.1,1400,100.0,sport
Havnaa,7.2,245,110.0,sport
Yolo,6.9,3700,129.0,sport
Vijay 69,6.1,1200,112.0,sport
Color of Victory,6.1,40000,157.0,sport
Crakk: Jeetega... Toh Jiyegaa,4.7,6500,154.0,sport
The Final: Attack on Wembley,6.3,2500,82.0,sport
Federer: Twelve Final Days,7.3,4100,88.0,sport
Giannis: The Marvelous Journey,8.3,1700,109.0,sport
El Harifa 2: El Remontada,6.5,387,130.0,sport
The Champion,5.5,887,106.0,sport
Cup,8.5,69,146.0,sport
Gundi: Legend of Love,9.0,5500,166.0,sport
Ski,7.7,64,95.0,sport
Free Falling,5.2,293,89.0,sport
Lal Salaam,4.5,1300,150.0,sport
Baki Hanma VS Kengan Ashura,5.7,1900,62.0,sport
My Annoying Brother,7.5,233,114.0,sport
The Swedish Torpedo,6.4,143,120.0,sport
Nayab,7.4,268,153.0,sport
Mr. & Mrs. Mahi,5.9,16000,139.0,sport
Samia,6.8,137,102.0,sport
Pegasus 2,6.9,1300,121.0,sport
Memes & Nightmares,5.7,85,81.0,sport
Sunshine,7.5,47,91.0,sport
Pierce,6.5,134,109.0,sport
Topuria Matador,7.2,166,95.0,sport
EFC,7.8,1200,87.0,sport
Hayatla Baris,6.3,372,125.0,sport
Undisputed,6.8,102,64.0,sport
4 Zéros,3.6,142,105.0,sport
Las super estrellas de la lucha libre,8.6,49,98.0,sport
Keluar Main 1994,7.9,52,112.0,sport
Giroud,6.1,17,80.0,sport
Friendly Fire,5.8,36,105.0,sport
The Miranda Brothers,4.4,190,99.0,sport
Nasty,7.8,1100,103.0,sport
Uma Musume: Pretty Derby - Beginning of a New Era,7.3,121,108.0,sport
Fuchsia Libre,4.9,58,112.0,sport
Minor Leaguer,5.2,87,77.0,sport
Diving Into the Darkness,9.1,83,96.0,sport
Puffing Iron,7.9,19,98.0,sport
Untold: The Murder of Air McNair,5.6,2100,57.0,sport
Kulej. Dwie strony medalu,6.4,314,148.0,sport
Megdan: Between Water and Fire,5.4,724,106.0,sport
GG (Good Game),5.7,79,100.0,sport
Harimau Malaya: The Untold Journey,8.2,22,125.0,sport
Challenger,5.6,170,95.0,sport
It's All Over: The Kiss That Changed Spanish Football,6.9,629,95.0,sport
Wingless,7.8,93,110.0,sport
V de Victor,5.2,75,100.0,sport
Runaway Wrestler,7.9,15,105.0,sport
Blue Star,6.9,1500,166.0,sport
Champions of the Golden Valley,9.2,64,81.0,sport
Gold,7.8,67,126.0,sport
Ice Aged,6.5,6,110.0,sport
Lyod 3,6.0,303,134.0,sport
Unbreakable: England 2003,8.2,35,66.0,sport
Game Changers,4.7,221,78.0,sport
Padu,5.1,80,97.0,sport
A Horse Named Winx,8.7,98,117.0,sport
See Her Be Her,7.2,22,110.0,sport
Knockout Blonde: The Kellie Maloney Story,5.9,21,90.0,sport
Parviz Khan,6.0,206,110.0,sport
